blockIndex,coinbaseReward,timestamp,difficulty,timeBetweenBlocks
395,256000000,1724155993281,14,905
396,256000000,1724155993843,14,562
397,256000000,1724155994737,14,894
398,256000000,1724155995313,14,576
399,256000000,1724155996203,14,890
400,256000000,1724155996777,14,574
401,256000000,1724155997356,14,579
402,256000000,1724155997962,14,606
403,256000000,1724155998540,14,578
404,256000000,1724155999101,14,561
405,256000000,1724155999988,14,887
406,256000000,1724156000554,14,566
407,256000000,1724156001789,14,1235
408,256000000,1724156002368,14,579
409,256000000,1724156002947,14,579
410,256000000,1724156003850,14,903
411,256000000,1724156004761,14,911
412,256000000,1724156005642,14,881
413,256000000,1724156006858,14,1216
414,256000000,1724156007766,14,908
415,256000000,1724156008345,14,579
416,256000000,1724156009584,14,1239
417,256000000,1724156010156,14,572
418,256000000,1724156010755,14,599
419,256000000,1724156012022,14,1267
420,256000000,1724156012943,14,921
421,256000000,1724156013880,14,937
422,256000000,1724156014468,14,588
423,256000000,1724156015041,14,573
424,256000000,1724156015622,14,581
425,256000000,1724156016511,14,889
426,256000000,1724156017093,14,582
427,256000000,1724156018000,14,907
428,256000000,1724156018563,14,563
429,256000000,1724156019155,14,592
430,256000000,1724156020057,14,902
431,256000000,1724156020641,14,584
432,256000000,1724156021540,14,899
433,256000000,1724156022129,20,589
434,256000000,1724156024016,20,1887
435,256000000,1724156024595,20,579
436,256000000,1724156025811,20,1216
437,256000000,1724156027020,20,1209
438,256000000,1724156029261,20,2241
439,256000000,1724156030147,20,886
440,256000000,1724156030758,20,611
441,256000000,1724156031659,20,901
442,256000000,1724156033887,20,2228
443,256000000,1724156034467,20,580
444,256000000,1724156035371,20,904
445,256000000,1724156036949,20,1578
446,256000000,1724156037523,20,574
447,256000000,1724156038100,20,577
448,256000000,1724156039007,20,907
449,256000000,1724156040240,20,1233
450,256000000,1724156040815,20,575
451,256000000,1724156041399,20,584
452,256000000,1724156042304,20,905
453,256000000,1724156042891,20,587
454,256000000,1724156043472,20,581
455,256000000,1724156044387,20,915
456,256000000,1724156045322,20,935
457,256000000,1724156046225,20,903
458,256000000,1724156047794,20,1569
459,256000000,1724156049360,20,1566
460,256000000,1724156049938,20,578
461,256000000,1724156051528,20,1590
462,256000000,1724156054723,20,3195
463,256000000,1724156055959,20,1236
464,256000000,1724156057512,20,1553
465,256000000,1724156058104,20,592
466,256000000,1724156059000,20,896
467,256000000,1724156060542,20,1542
468,256000000,1724156061444,20,902
469,256000000,1724156062364,20,920
470,256000000,1724156062941,20,577
471,256000000,1724156063511,20,570
472,256000000,1724156064743,20,1232
473,256000000,1724156065322,20,579
474,256000000,1724156067541,20,2219
475,256000000,1724156068438,20,897
476,256000000,1724156069008,20,570
477,256000000,1724156069900,20,892
478,256000000,1724156071442,20,1542
479,256000000,1724156072670,20,1228
480,256000000,1724156073575,20,905
481,256000000,1724156074507,20,932
482,256000000,1724156075421,20,914
483,256000000,1724156075997,20,576
484,256000000,1724156077229,20,1232
485,256000000,1724156079819,20,2590
486,256000000,1724156080418,20,599
487,256000000,1724156081337,20,919
488,256000000,1724156082551,20,1214
489,256000000,1724156083782,20,1231
490,256000000,1724156085005,20,1223
491,256000000,1724156085907,20,902
492,256000000,1724156086798,20,891
493,256000000,1724156087373,20,575
494,256000000,1724156087949,20,576
495,256000000,1724156089190,20,1241
496,256000000,1724156089765,20,575
497,256000000,1724156091325,20,1560
498,256000000,1724156092249,20,924
499,256000000,1724156093809,20,1560
500,256000000,1724156094401,20,592
501,256000000,1724156096646,20,2245
502,256000000,1724156097558,20,912
503,256000000,1724156098788,20,1230
504,256000000,1724156099695,20,907
505,256000000,1724156101254,20,1559
506,256000000,1724156103434,20,2180
507,256000000,1724156104022,20,588
508,256000000,1724156104598,20,576
509,256000000,1724156105173,20,575
510,256000000,1724156106077,20,904
511,256000000,1724156106672,20,595
512,256000000,1724156107563,20,891
513,256000000,1724156108137,20,574
514,256000000,1724156108745,20,608
515,256000000,1724156109321,20,576
516,256000000,1724156110245,20,924
517,256000000,1724156111198,20,953
518,256000000,1724156112132,20,934
519,256000000,1724156113713,20,1581
520,256000000,1724156114944,20,1231
521,256000000,1724156116189,20,1245
522,256000000,1724156116758,20,569
523,256000000,1724156117338,20,580
524,256000000,1724156119192,20,1854
525,256000000,1724156120440,20,1248
526,256000000,1724156121010,20,570
527,256000000,1724156122581,20,1571
528,256000000,1724156123162,20,581
529,256000000,1724156124095,20,933
530,256000000,1724156124996,20,901
531,256000000,1724156125605,20,609
532,256000000,1724156127169,20,1564
533,256000000,1724156127760,20,591
534,256000000,1724156128333,20,573
535,256000000,1724156128930,20,597
536,256000000,1724156130454,20,1524
537,256000000,1724156131033,20,579
538,256000000,1724156131920,20,887
539,256000000,1724156133151,20,1231
540,256000000,1724156135359,20,2208
541,256000000,1724156135956,20,597
542,256000000,1724156136847,20,891
543,256000000,1724156137434,20,587
544,256000000,1724156138009,20,575
545,256000000,1724156139246,20,1237
546,256000000,1724156139823,20,577
547,256000000,1724156140398,20,575
548,256000000,1724156140961,20,563
549,256000000,1724156141851,20,890
550,256000000,1724156142443,20,592
